참조표준명,지역,성별,나이(세),고혈압약복용자포함여부,측정값평균(mmHg),확장불확도(mmHg),측정수(건),표준편차(mmHg),1분위수(Percentile),5분위수(Percentile),10분위(Percentile),25분위(Percentile),50분위(Percentile),75분위(Percentile),90분위(Percentile),95분위(Percentile),99분위(Percentile)
수축기,전국,남성,20~24세,포함,120,31,140380,12,95,100,106,111,119,128,135,139,150
수축기,전국,남성,25~26세,포함,121,31,139040,12,96,102,108,113,120,130,136,139,152
수축기,전국,남성,27~28세,포함,122,31,182758,12,97,103,108,114,120,130,137,139,153
수축기,전국,남성,29~30세,포함,122,32,194011,12,98,103,109,114,120,130,138,140,155
수축기,전국,남성,31~32세,포함,123,32,200275,12,98,104,109,115,121,130,138,142,158
수축기,전국,남성,33~34세,포함,123,32,213239,12,98,104,110,115,122,130,138,143,159
수축기,전국,남성,35~36세,포함,124,33,239209,13,98,105,110,116,122,131,138,144,160
수축기,전국,남성,37~38세,포함,124,33,260145,13,99,105,110,116,123,132,139,145,160
수축기,전국,남성,39~40세,포함,124,33,292911,13,98,104,110,116,123,132,139,146,160
수축기,전국,남성,41~42세,포함,124,33,264733,13,98,104,110,116,123,132,139,146,160
수축기,전국,남성,43~44세,포함,124,33,274040,13,97,104,109,116,123,132,139,146,160
수축기,전국,남성,45~46세,포함,124,34,288481,13,97,104,109,116,123,132,140,147,161
수축기,전국,남성,47~48세,포함,124,34,294895,13,97,104,109,116,123,132,140,147,161
수축기,전국,남성,49~50세,포함,124,34,289316,14,96,103,109,116,124,133,140,148,161
수축기,전국,남성,51~52세,포함,125,34,265786,14,96,103,109,116,124,133,140,149,162
수축기,전국,남성,53~54세,포함,125,34,262410,14,96,104,109,116,124,134,140,149,162
수축기,전국,남성,55~56세,포함,125,35,261600,14,96,104,109,116,125,134,142,150,163
수축기,전국,남성,57~58세,포함,126,35,282902,14,96,104,110,117,126,135,142,150,164
수축기,전국,남성,59~60세,포함,126,35,271532,14,96,104,110,117,126,135,143,150,164
수축기,전국,남성,61~62세,포함,127,35,227416,14,96,104,110,118,127,136,144,150,165
수축기,전국,남성,63~64세,포함,127,35,203695,14,96,105,110,118,128,136,145,151,165
수축기,전국,남성,65~66세,포함,128,36,167984,14,97,105,110,118,128,137,146,152,166
수축기,전국,남성,67~68세,포함,128,36,137111,15,97,106,110,119,129,138,147,153,167
수축기,전국,남성,69~70세,포함,129,36,133623,15,97,106,110,119,130,138,148,154,168
수축기,전국,남성,71~72세,포함,129,36,112301,15,97,106,110,120,130,139,149,154,168
수축기,전국,남성,73~74세,포함,130,36,86647,15,98,107,110,120,130,139,150,155,170
수축기,전국,남성,75세이상,포함,130,38,283721,16,96,106,110,120,130,140,150,158,171
수축기,전국,여성,20~24세,포함,112,30,185608,11,90,94,99,104,111,119,126,130,139
수축기,전국,여성,25~26세,포함,111,30,153215,11,90,94,98,104,110,118,125,130,139
수축기,전국,여성,27~28세,포함,111,30,160910,11,90,94,98,103,110,118,125,130,139
수축기,전국,여성,29~30세,포함,111,31,148231,11,90,94,98,103,110,118,126,131,140
수축기,전국,여성,31~32세,포함,112,31,135311,12,90,94,98,103,110,118,126,132,142
수축기,전국,여성,33~34세,포함,112,31,129915,12,90,94,98,104,111,119,127,132,144
수축기,전국,여성,35~36세,포함,112,32,140896,12,90,94,98,104,111,119,128,133,146
수축기,전국,여성,37~38세,포함,113,32,149569,12,90,95,99,104,112,120,129,135,149
수축기,전국,여성,39~40세,포함,114,33,227907,13,90,96,100,106,113,121,130,136,150
수축기,전국,여성,41~42세,포함,115,33,220757,13,90,96,100,106,114,122,131,138,152
수축기,전국,여성,43~44세,포함,116,34,239258,14,90,96,100,107,115,124,133,139,155
수축기,전국,여성,45~46세,포함,117,34,261463,14,90,97,100,108,116,125,135,140,156
수축기,전국,여성,47~48세,포함,118,35,272584,14,90,97,100,109,117,127,136,140,158
수축기,전국,여성,49~50세,포함,119,35,281816,14,90,98,101,110,118,128,137,143,160
수축기,전국,여성,51~52세,포함,120,36,268682,14,90,99,102,110,119,130,138,144,160
수축기,전국,여성,53~54세,포함,121,36,269462,15,90,99,102,110,120,130,139,145,160
수축기,전국,여성,55~56세,포함,121,36,273301,15,90,100,103,110,120,130,139,146,160
수축기,전국,여성,57~58세,포함,122,36,305246,15,91,100,104,112,120,131,140,147,160
수축기,전국,여성,59~60세,포함,123,36,283850,15,92,100,105,113,122,132,140,148,162
수축기,전국,여성,61~62세,포함,124,36,251256,15,92,100,106,114,124,134,142,150,162
수축기,전국,여성,63~64세,포함,126,36,229404,15,94,101,108,116,125,135,144,150,164
수축기,전국,여성,65~66세,포함,127,36,189674,15,94,103,109,117,127,136,146,152,166
수축기,전국,여성,67~68세,포함,128,36,151203,15,95,104,110,118,128,137,147,153,167
수축기,전국,여성,69~70세,포함,129,37,148325,15,97,106,110,119,130,138,149,155,169
수축기,전국,여성,71~72세,포함,130,37,124445,15,97,106,110,120,130,139,150,156,170
수축기,전국,여성,73~74세,포함,131,37,100633,15,98,108,111,120,130,140,150,157,171
수축기,전국,여성,75세이상,포함,132,38,362523,16,97,108,110,120,130,140,152,160,175
수축기,서울,남성,20~24세,포함,121,32,18209,12,95,101,106,112,120,129,136,140,153
수축기,서울,남성,25~26세,포함,121,31,21276,12,96,103,108,113,120,130,136,140,153
수축기,서울,남성,27~28세,포함,122,32,34004,12,97,103,108,114,120,130,137,140,154
수축기,서울,남성,29~30세,포함,122,32,39745,12,97,104,108,114,121,130,138,142,157
수축기,서울,남성,31~32세,포함,123,32,42167,12,97,104,108,114,122,130,138,143,158
수축기,서울,남성,33~34세,포함,123,33,44084,13,98,105,109,115,122,131,138,144,159
수축기,서울,남성,35~36세,포함,124,33,47314,13,98,104,109,115,123,131,139,145,160
수축기,서울,남성,37~38세,포함,124,33,47356,13,98,105,109,115,123,132,139,146,161
수축기,서울,남성,39~40세,포함,124,34,51622,13,98,105,109,116,124,132,140,147,162
수축기,서울,남성,41~42세,포함,124,34,45804,13,98,104,109,116,123,132,140,147,161
수축기,서울,남성,43~44세,포함,124,34,47825,13,97,104,109,115,124,132,140,147,162
수축기,서울,남성,45~46세,포함,124,34,49527,13,97,104,109,116,124,132,140,147,161
수축기,서울,남성,47~48세,포함,125,34,51118,13,96,104,108,116,124,133,140,147,162
수축기,서울,남성,49~50세,포함,125,34,48710,14,96,103,108,115,124,133,140,148,161
수축기,서울,남성,51~52세,포함,125,34,43764,14,96,103,108,116,124,133,141,148,162
수축기,서울,남성,53~54세,포함,125,34,42603,14,96,104,109,116,125,134,141,149,162
수축기,서울,남성,55~56세,포함,126,35,42189,14,96,104,109,116,125,134,142,149,162
수축기,서울,남성,57~58세,포함,126,35,45388,14,96,104,109,117,126,135,143,150,163
수축기,서울,남성,59~60세,포함,127,35,45878,14,96,104,110,118,127,135,143,150,164
수축기,서울,남성,61~62세,포함,127,35,40420,14,96,105,110,118,128,136,144,150,164
수축기,서울,남성,63~64세,포함,128,35,37540,14,97,106,110,119,128,137,145,151,164
수축기,서울,남성,65~66세,포함,129,35,31843,14,97,106,110,120,129,137,146,152,164
수축기,서울,남성,67~68세,포함,129,35,25537,14,97,107,111,120,130,138,146,152,165
수축기,서울,남성,69~70세,포함,130,35,25313,14,98,107,112,120,130,138,148,154,167
수축기,서울,남성,71~72세,포함,130,35,21701,14,98,107,112,120,130,139,148,154,166
수축기,서울,남성,73~74세,포함,131,35,16855,14,98,108,112,121,130,139,149,155,168
수축기,서울,남성,75세이상,포함,132,36,47589,15,98,108,113,122,131,140,150,157,170
수축기,서울,여성,20~24세,포함,111,30,33591,11,90,94,98,103,110,118,126,131,139
수축기,서울,여성,25~26세,포함,111,30,34665,11,90,94,98,103,110,118,125,130,139
수축기,서울,여성,27~28세,포함,111,30,41542,11,90,94,97,103,110,118,125,130,139
수축기,서울,여성,29~30세,포함,111,31,40624,11,90,94,97,103,110,118,125,131,140
수축기,서울,여성,31~32세,포함,111,31,37521,12,90,94,97,103,110,118,126,131,142
수축기,서울,여성,33~34세,포함,111,31,35040,12,90,94,97,103,110,118,126,132,144
수축기,서울,여성,35~36세,포함,112,32,35295,12,90,94,97,103,110,118,127,133,147
수축기,서울,여성,37~38세,포함,112,32,34667,12,90,94,98,103,111,119,128,134,148
수축기,서울,여성,39~40세,포함,114,33,46931,13,90,95,99,105,112,121,130,136,151
수축기,서울,여성,41~42세,포함,114,34,44728,13,90,95,99,105,113,122,131,137,152
수축기,서울,여성,43~44세,포함,115,34,46781,13,90,96,99,106,114,123,133,138,153
수축기,서울,여성,45~46세,포함,116,35,50721,14,90,96,100,107,115,125,134,139,156
수축기,서울,여성,47~48세,포함,117,35,52737,14,90,97,100,108,116,126,135,140,156
수축기,서울,여성,49~50세,포함,119,36,51755,15,90,97,100,109,118,128,137,143,159
수축기,서울,여성,51~52세,포함,120,36,48314,15,90,98,101,110,119,130,138,144,160
수축기,서울,여성,53~54세,포함,120,36,49201,15,91,98,102,110,120,130,138,145,159
수축기,서울,여성,55~56세,포함,121,36,50391,14,91,99,102,110,120,130,139,145,159
수축기,서울,여성,57~58세,포함,122,36,56592,14,91,99,103,112,121,131,139,146,160
수축기,서울,여성,59~60세,포함,123,36,54193,14,92,100,104,113,123,132,140,147,160
수축기,서울,여성,61~62세,포함,124,36,49266,14,92,100,105,114,124,134,141,148,161
수축기,서울,여성,63~64세,포함,125,36,45919,15,94,102,107,116,125,135,143,150,162
수축기,서울,여성,65~66세,포함,127,36,37861,15,95,103,109,118,127,136,145,151,165
수축기,서울,여성,67~68세,포함,128,36,29434,15,95,104,110,118,128,137,146,152,165
